work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
2021,SE,FT,Threat Intelligence Analyst,157000,US,100,US,L
2021,SE,FT,Threat Intelligence Analyst,208000,JP,100,US,L
2022,SE,FT,Security Specialist,100500,US,100,US,L
2021,EX,FT,Incident Response Manager,175000,US,100,US,L
2022,SE,FT,Cyber Threat Intelligence Analyst,150000,US,100,US,L
2022,EN,FT,Cyber Security Analyst,72000,US,100,US,L
2021,SE,FT,Cyber Threat Analyst,125000,US,100,US,L
2022,SE,FT,IT Security Manager,190000,US,50,US,L
2022,EN,FT,Security Analyst,65000,US,100,US,L
2022,MI,FT,Security Researcher,160000,US,50,US,S
2022,MI,FT,Cyber Security Analyst,90000,US,100,US,S
2022,SE,FT,Detection Engineer,360000,US,100,US,L
2022,SE,FT,Detection Engineer,200000,US,100,US,L
2022,MI,FT,Cloud Security Engineer,120000,US,100,US,L
2022,EN,FT,Cyber Security Analyst,34000,US,100,US,L
2022,MI,FT,Penetration Tester,165000,US,100,US,M
2022,SE,FT,Cyber Security Engineer,173000,US,50,US,L
2021,MI,FT,Cyber Security Engineer,109000,US,0,US,L
2022,MI,FT,Threat Intelligence Analyst,126000,US,0,US,M
2022,MI,FT,Information Security Analyst,230000,US,50,US,L
2022,SE,FT,Information Security Specialist,112000,US,100,US,M
2022,SE,FT,Cyber Security Analyst,130000,US,50,US,L
2022,SE,FT,Enterprise Security Engineer,130000,US,100,US,L
2022,EN,FT,Cyber Security Analyst,58000,US,100,US,S
2021,MI,FT,Vulnerability Management Engineer,69000,US,100,US,L
2022,MI,FT,Cyber Security Specialist,145000,US,50,US,L
2022,MI,FT,Information Security Officer,61000,US,0,US,M
2021,EN,FT,Information Security Analyst,70000,US,100,US,L
2021,SE,FT,Information Security Architect,126000,US,50,US,L
2021,EX,FT,Head of Security,145000,US,100,US,L
2022,EN,FT,SOC Analyst,75000,US,100,US,L
2022,MI,FT,Cyber Security Analyst,74900,US,0,US,L
2021,SE,FT,Cyber Security Analyst,87000,AE,50,US,L
2021,EN,FT,Cyber Security Engineer,65000,US,100,US,L
2022,SE,FT,Information Security Manager,143000,US,50,US,L
2022,SE,FT,Vulnerability Analyst,165000,US,100,US,L
2021,MI,FT,Security Specialist,130000,US,100,US,L
2021,SE,FT,Cyber Threat Intelligence Analyst,125000,US,100,US,L
2022,SE,FT,Incident Response Lead,112000,US,50,US,L
2022,SE,FT,Security Engineer,119500,US,100,US,L
2021,EX,FT,Chief Information Security Officer,220500,US,100,US,L
2022,EN,FT,Security Analyst,70000,US,100,US,L
2022,SE,FT,IT Security Manager,172000,US,100,US,L
2022,SE,FT,Penetration Tester,118000,US,100,US,S
2021,MI,FT,Cyber Security Analyst,73300,US,0,US,L
2022,MI,FT,Penetration Tester,143000,US,100,US,L
2022,EX,FT,Threat Intelligence Response Analyst,300000,GB,100,RU,L
2021,SE,FT,Penetration Tester,105000,US,100,US,S
2022,MI,FT,Penetration Tester,42000,CZ,50,CZ,L
2022,SE,FT,Cyber Security Engineer,105000,US,0,US,S
2022,MI,FT,Security Engineer,130000,US,100,US,L
2021,EN,FT,Cyber Security Analyst,40000,AE,100,AE,L
2022,EN,CT,SOC Analyst,70000,US,100,US,L
2022,EN,FT,Threat Intelligence Analyst,85000,US,100,US,L
2022,SE,FT,Cyber Threat Intelligence Analyst,181000,US,100,US,L
2022,SE,FT,Incident Response Lead,224000,US,100,US,L
2022,EX,FT,Head of Security,220000,US,100,US,L
2021,SE,FT,Security Specialist,211000,US,100,US,L
2022,SE,FT,Cloud Security Architect,110000,US,100,US,L
2022,MI,FT,Cyber Threat Intelligence Analyst,200000,US,100,US,L
2021,MI,FT,Product Security Engineer,170000,US,100,US,L
2021,SE,FT,Information Security Manager,135000,US,100,US,L
2022,EX,FT,Threat Intelligence Analyst,189000,US,100,US,L
2021,EX,FT,Head of Security,173000,US,100,US,M
2022,SE,FT,Incident Response Lead,249000,US,100,US,L
2022,SE,FT,IT Security Manager,140000,US,100,US,L
2022,SE,CT,Detection Engineer,135000,US,50,US,L
2022,SE,FT,Incident Response Manager,600000,US,100,US,L
2021,MI,FT,Information Security Specialist,100000,US,50,US,L
2021,SE,FT,Network Security Engineer,102000,US,50,US,L
2022,MI,FT,Information Security Analyst,60000,US,100,US,M
2022,SE,FT,Security Engineering Manager,183000,US,100,US,L
2022,SE,FT,Cloud Security Architect,190000,US,100,US,L
2022,MI,FT,Information Security Engineer,130000,US,100,US,L
2021,EN,FT,Application Security Engineer,175000,US,100,US,L
2022,MI,FT,Privacy Manager,150000,US,100,US,M
2021,MI,FT,Cloud Security Engineer,155000,US,100,GB,L
2021,EN,FT,Cyber Security Engineer,74000,US,50,US,S
2022,SE,FT,Lead Security Engineer,112000,US,100,US,L
2022,SE,FT,Security Engineer,255000,US,100,US,L
2022,SE,FT,Security Engineer,170000,US,100,US,L
2022,SE,FT,Penetration Testing Engineer,173000,US,0,US,L
2021,MI,FT,Security Engineer,130000,US,100,US,L
2022,SE,FT,IT Security Engineer,150000,US,100,US,L
2022,EX,FT,Head of Security,200000,US,100,US,L
2021,MI,FT,IT Security Analyst,76000,US,100,US,L
2022,MI,FT,Cyber Threat Analyst,88000,US,100,US,L
2021,EN,FT,Security Analyst,50000,US,100,US,S
2021,SE,FT,Security Analyst,80000,US,100,US,S
2022,MI,FT,Cyber Security Analyst,131800,US,0,US,L
2022,MI,FT,Cyber Security Analyst,99900,US,0,US,L
2021,MI,FT,Cyber Security Engineer,110000,US,100,US,M
2022,MI,FT,Information Security Manager,160000,US,50,US,L
2021,MI,FT,Information Security Manager,128000,US,100,US,L
2022,MI,FT,Information Security Manager,130000,US,0,US,L
2021,MI,FT,Threat Intelligence Analyst,125000,US,100,US,L
2022,SE,FT,Information Security Manager,310000,US,100,US,L
2022,EN,FT,Cyber Security Analyst,55000,US,0,US,L
2021,SE,FT,IT Security Manager,138000,US,100,US,L
2021,EN,FT,Cyber Security Analyst,60000,US,50,US,L
2021,SE,FT,Network and Security Engineer,99960,US,0,US,L
2021,EN,PT,Information Security Analyst,30000,US,100,US,L
2022,MI,FT,Security Engineer,110000,US,50,US,L
2021,MI,FT,Information Security Specialist,68900,US,100,US,L
2021,MI,FT,IT Security Manager,116000,US,0,US,S
2022,EN,FT,Cyber Threat Analyst,99000,CA,100,CA,L
2022,EN,FT,Information Systems Security Engineer,44000,SG,0,SG,L
2022,EN,FT,Cyber Security Analyst,52000,US,50,US,S
2021,MI,FT,IT Security Analyst,115500,US,100,US,L
2021,SE,FT,Information Security Engineer,104000,US,100,US,L
2022,EN,FT,Network and Security Engineer,70000,IN,0,US,L
2022,MI,FT,Cyber Security Analyst,131500,US,0,US,L
2022,MI,FT,Cyber Security Analyst,99950,US,0,US,L
2021,EN,FT,Cyber Security Analyst,76200,US,50,US,L
2021,MI,FT,Digital Forensics Analyst,100000,US,100,US,M
2022,MI,FT,Information Security Officer,100000,US,50,US,L
2021,SE,FT,Security Engineer,145000,US,50,US,L
2021,MI,FT,Information Security Analyst,120000,US,100,US,L
2021,MI,FT,Penetration Tester,100000,US,100,US,M
2021,MI,FT,Software Security Engineer,320000,US,50,US,L
2021,EN,FT,Security Analyst,75000,US,100,US,S
2021,SE,FT,Cyber Security Engineer,150000,US,100,US,L
2021,SE,FT,Privacy Manager,120000,US,100,US,L
2020,MI,FT,Cyber Threat Analyst,115000,US,100,US,L
2021,MI,FT,Security Analyst,91700,US,0,US,L
2021,MI,FT,Security Analyst,82600,US,0,US,L
2021,SE,FT,IT Security Manager,146000,US,100,US,L
2021,MI,FT,Cyber Security Analyst,135000,US,50,US,L
2021,SE,FT,Information Security Manager,185000,US,50,US,L
2021,EX,FT,Head of Security,220000,US,50,US,L
2021,EN,FT,SOC Analyst,68500,US,50,US,M
2021,MI,FT,Penetration Tester,115000,US,100,US,M
2021,MI,FT,Cyber Security Engineer,97350,US,100,US,L
2020,SE,FT,Information Security Analyst,94000,US,50,US,L
